id,edad,abandono,viajes,departamento,distancia_casa,educacion,carrera,satisfaccion_entorno,implicacion,nivel_laboral,puesto,satisfaccion_trabajo,estado_civil,salario_mes,num_empresas_anteriores,horas_extra,incremento_salario_porc,evaluacion,satisfaccion_companeros,nivel_acciones,anos_experiencia,num_formaciones_ult_ano,anos_compania,anos_desde_ult_promocion,anos_con_manager_actual
1,41,1,Travel_Rarely,Sales,1,Universitaria,Life Sciences,Media,Alta,2,Sales Executive,Alta,Single,5993,8,Yes,11,Alta,Baja,0,8,0,6,0,5
2,49,0,Travel_Frequently,Research & Development,8,Secundaria,Life Sciences,Alta,Media,2,Research Scientist,Media,Married,5130,1,No,23,Muy_Alta,Muy_Alta,1,10,3,10,1,7
4,37,1,Travel_Rarely,Research & Development,2,Secundaria,Other,Muy_Alta,Media,1,Laboratory Technician,Media,Single,2090,6,Yes,15,Alta,Media,0,7,3,0,0,0
5,33,0,Travel_Frequently,Research & Development,3,Universitaria,Life Sciences,Muy_Alta,Alta,1,Research Scientist,Alta,Married,2909,1,Yes,11,Alta,Alta,0,8,3,8,3,0
7,27,0,Travel_Rarely,Research & Development,2,Universitaria,Medical,Baja,Alta,1,Laboratory Technician,Alta,Married,3468,9,No,12,Alta,Muy_Alta,1,6,3,2,2,2
8,32,0,Travel_Frequently,Research & Development,2,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Single,3068,0,No,13,Alta,Alta,0,8,2,7,3,6
10,59,0,Travel_Rarely,Research & Development,3,Master,Medical,Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2670,4,Yes,20,Muy_Alta,Baja,3,12,3,1,0,0
11,30,0,Travel_Rarely,Research & Development,24,Universitaria,Life Sciences,Muy_Alta,Alta,1,Laboratory Technician,Alta,Divorced,2693,1,No,22,Muy_Alta,Media,1,1,2,1,0,0
12,38,0,Travel_Frequently,Research & Development,23,Secundaria,Life Sciences,Muy_Alta,Media,3,Manufacturing Director,Media,Single,9526,0,No,21,Muy_Alta,Media,0,10,2,9,1,8
13,36,0,Travel_Rarely,Research & Development,27,Universitaria,Medical,Alta,Alta,2,Healthcare Representative,Alta,Married,5237,6,No,13,Alta,Media,2,17,3,7,7,7
14,35,0,Travel_Rarely,Research & Development,16,Master,Medical,Baja,Muy_Alta,1,Laboratory Technician,Muy_Alta,Married,2426,0,No,13,Alta,Alta,1,6,5,5,0,3
15,29,0,Travel_Rarely,Research & Development,15,Secundaria,Life Sciences,Muy_Alta,Media,2,Laboratory Technician,Media,Single,4193,0,Yes,12,Alta,Muy_Alta,0,10,3,9,0,8
16,31,0,Travel_Rarely,Research & Development,26,Universitaria,Life Sciences,Baja,Alta,1,Research Scientist,Alta,Divorced,2911,1,No,17,Alta,Muy_Alta,1,5,1,5,4,3
18,34,0,Travel_Rarely,Research & Development,19,Universitaria,Medical,Media,Alta,1,Laboratory Technician,Alta,Divorced,2661,0,No,11,Alta,Alta,1,3,2,2,1,2
19,28,1,Travel_Rarely,Research & Development,24,Secundaria,Life Sciences,Alta,Media,1,Laboratory Technician,Media,Single,2028,5,Yes,14,Alta,Media,0,6,4,4,0,3
20,29,0,Travel_Rarely,Research & Development,21,Master,Life Sciences,Media,Muy_Alta,3,Manufacturing Director,Muy_Alta,Divorced,9980,1,No,11,Alta,Alta,1,10,1,10,8,8
21,32,0,Travel_Rarely,Research & Development,5,Master,Life Sciences,Baja,Muy_Alta,1,Research Scientist,Muy_Alta,Divorced,3298,0,Yes,12,Alta,Muy_Alta,2,7,5,6,0,5
22,22,0,Non-Travel,Research & Development,16,Master,Medical,Muy_Alta,Muy_Alta,1,Laboratory Technician,Muy_Alta,Divorced,2935,1,Yes,13,Alta,Media,2,1,2,1,0,0
23,53,0,Travel_Rarely,Sales,2,Secundaria,Life Sciences,Baja,Media,4,Manager,Media,Married,15427,2,No,16,Alta,Alta,0,31,3,25,3,7
24,38,0,Travel_Rarely,Research & Development,2,Universitaria,Life Sciences,Muy_Alta,Alta,1,Research Scientist,Alta,Single,3944,5,Yes,11,Alta,Alta,0,6,3,3,1,2
26,24,0,Non-Travel,Research & Development,11,Master,Other,Baja,Muy_Alta,2,Manufacturing Director,Muy_Alta,Divorced,4011,0,No,18,Alta,Muy_Alta,1,5,5,4,1,3
